33522.5121,105,425,307,145,759,346,351,240,397,607,546,367,575,530,599,765,551,1039,315,477,255,502,454,529,343,429,380,401,388,494,347,466
,;3	473	300	441	795	33463.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33462.53125,105,425,307,145,759,346,351,240,397,607,546,367,575,530,300,765,551,1039,315,477,255,502,454,529,343,429,380,401,388,494,347,466
,;3	651	369	429	795	30103.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30103.71673,105,425,307,145,759,346,351,240,397,607,546,367,575,530,300,369,551,1039,315,477,255,502,454,529,343,429,380,401,388,494,347,466
,;3	805	495	427	767	29762.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29762.18448,105,425,307,145,759,346,351,240,397,607,546,367,575,530,300,369,495,1039,315,477,255,502,454,529,343,429,380,401,388,494,347,466
,;3	360	293	404	394	17727.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17726.91835,105,425,307,145,759,346,351,240,397,607,546,367,575,530,300,369,495,293,315,477,255,502,454,529,343,429,380,401,388,494,347,466
,;3	360	860	421	394	23869.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
